"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYC_TARGETS_V2",58,-0.624393865705694,-2.0880901291839,0.00253807106598985,0.00647249190938511,0.00177141883835803,5045,"tags=76%, list=27%, signal=56%","6832/54663/81887/10171/79050/6573/1019/10528/4173/7965/27340/80324/10244/4839/7374/51154/3177/4869/79711/56915/10199/5036/9238/705/23160/4609/5245/5347/9136/3099/8886/79077/11335/51491/29078/51388/27346/26354/64216/3329/6652/10733/10196/3336"
"PEROXISOME","HALLMARK_PEROXISOME","HALLMARK_PEROXISOME",104,-0.480456616862719,-1.78057426623037,0.00263157894736842,0.00647249190938511,0.00177141883835803,4460,"tags=45%, list=23%, signal=35%","10455/373156/3416/6599/10057/23457/3155/26986/390916/60386/6477/2224/6342/51/30/7276/10478/5052/5828/1022/213/10005/216/5194/4436/51170/8915/2053/3422/5243/1962/5825/8800/1718/3295/25824/3417/7153/51703/866/6820/11001/3291/7367/2172/8856/1056"
"FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",156,-0.420583363788354,-1.66073479084947,0.003003003003003,0.00647249190938511,0.00177141883835803,2850,"tags=32%, list=15%, signal=27%","51/30/3052/6584/7358/10005/51166/216/58505/6281/5805/8803/4953/51170/594/8876/50814/26275/8801/1666/6392/3033/8802/5160/4128/23173/10449/3422/84263/218/1962/1718/3295/3157/51478/131076/760/3248/3417/39/10808/51703/6296/2819/2169/126/762/1056/3158/2168"
"MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1",196,-0.63069458916571,-2.57843635784272,0.00311526479750779,0.00647249190938511,0.00177141883835803,5856,"tags=79%, list=31%, signal=55%","10574/5496/3184/10856/5250/2091/10971/328/6633/6418/6188/1982/4176/8662/2547/9221/56910/1973/51690/821/7419/1503/7324/1854/6434/7203/23450/6164/5707/54107/10146/7531/23435/26135/7284/7298/6128/55651/6432/5713/6599/57819/7398/6634/65005/5687/4686/6194/3181/1017/9045/5634/1019/4175/10935/26986/220988/7514/6204/4171/1933/26156/6146/23016/10528/28973/1665/4173/7965/3939/7027/10492/2935/10549/5230/1537/10987/6240/5901/10575/3326/2806/1207/3068/6428/22948/5706/3608/708/6150/6426/4869/5709/6950/9868/5691/3251/5682/11260/3475/7913/5478/1478/10054/52/5036/22916/9188/6427/51020/7416/4706/10728/6632/4609/5685/5111/5245/4953/9136/10576/2739/5902/991/5688/7411/8669/1964/8886/4999/3066/11335/6627/51491/10213/6629/6742/6059/1977/5984/6741/5683/9377/3838/6637/26354/8894/8318/3329/890/4830/3336/4085/6732"
"XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_XENOBIOTIC_METABOLISM",197,-0.366033723230299,-1.49552556394238,0.00314465408805031,0.00647249190938511,0.00177141883835803,3406,"tags=32%, list=18%, signal=27%","116285/6510/1528/670/5950/2618/8714/10653/51/5091/3251/7358/10237/116842/26061/5226/5831/52/10857/3294/5805/10728/55502/29785/217/2114/8876/2729/1652/9054/6370/22949/4128/8309/54677/1728/3728/191/27346/23169/218/2937/64087/435/1646/2184/629/957/1562/760/3417/5967/839/866/1244/3172/8644/1573/8529/7274/7498/126/1644/2168"
"E2F_TARGETS","HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",198,-0.64301710500475,-2.62912050664822,0.00318471337579618,0.00647249190938511,0.00177141883835803,5012,"tags=72%, list=26%, signal=54%","1854/11113/5591/6434/10111/10714/23047/9972/3364/1633/4172/9125/56655/3978/84312/4678/7398/4683/11051/5810/10797/3148/5885/10212/8726/10535/1019/84844/4175/204/7514/4171/10528/4288/7083/4173/3835/54556/10492/2935/10549/3925/6470/5931/7465/5901/7374/6839/79019/79677/29980/4001/6628/6426/580/51747/25842/55723/7884/8914/10460/7913/55143/9212/146909/7112/9183/54962/5036/9238/3070/6427/253714/3159/29127/3930/4609/11004/1163/5111/84296/4436/5347/64785/10051/5902/991/6119/10606/9700/5558/29028/79077/4999/57122/4361/672/1033/9232/9133/3838/3149/51155/4292/24137/10615/6241/83461/2146/9787/1111/11340/79075/332/81624/1062/1434/675/9833/57405/29089/1164/55646/9319/55635/10635/4830/11200/10733/701/79733/4605/23594/9837/993/983/6790/7153/4085/3161/898/5983/7037"
"G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",195,-0.513976478005582,-2.09486121174388,0.00318471337579618,0.00647249190938511,0.00177141883835803,4751,"tags=58%, list=25%, signal=44%","23047/3980/3364/4172/1432/3799/8452/4678/6599/4331/5885/10212/10762/1019/4175/7514/4171/1874/4288/3835/8899/7027/10492/2935/3925/10772/6839/4001/8140/6426/580/1870/8451/10460/10592/9212/9055/7112/8317/6427/3159/1950/7150/29127/3930/262/6632/4609/11004/1163/3832/1869/5347/4953/10051/1063/991/1871/51203/6558/6491/10024/1841/9700/5558/5001/22823/10293/9156/10403/1033/9585/57082/26271/8438/9232/9133/3838/9493/3149/51155/24137/5933/55872/1736/2146/1111/8318/699/332/1062/675/1164/4751/1058/10926/51659/890/10721/10733/4605/23594/993/983/56992/6713/22974/6790/7153/11065/4085/3161/7272/990"
"MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING",198,-0.42694509902679,-1.74566136161494,0.00318471337579618,0.00647249190938511,0.00177141883835803,4295,"tags=47%, list=23%, signal=37%","10797/1595/10212/4199/3313/8833/10097/29110/5719/4171/6533/27230/2965/4173/3939/1719/900/7296/5684/5230/6510/10987/7374/3638/6513/5706/440/10197/8140/27101/81873/30001/5052/9368/2717/10452/5718/3251/3475/5478/5163/23657/908/205/51569/56902/5685/5347/9136/4860/10622/54843/2729/3145/3099/51377/120/5464/441024/6309/10213/5723/1717/26227/10135/3422/27346/80777/57761/2542/516/1718/6241/8894/3157/6319/699/10682/3156/3329/8624/9521/6652/79071/1491/29968/3336/993/26747/3417/6713/6790/134429/7037"
"OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_OXIDATIVE_PHOSPHORYLATION",200,-0.497552856501658,-2.03372654933883,0.00323624595469256,0.00647249190938511,0.00177141883835803,5434,"tags=60%, list=29%, signal=43%","26517/4702/9550/4707/10989/1892/7419/3418/4695/581/5162/6832/2395/51660/4729/1340/10939/1353/506/92609/26520/1350/539/1327/522/34/211/4708/521/6390/10884/4726/3313/22/10935/29796/4717/55288/4552/2110/4697/7381/3945/6183/2271/1738/3939/4976/3419/1537/7385/4701/1528/10440/2806/4722/10632/3028/4712/788/9167/65003/1337/5264/10476/30/3052/4694/54704/4698/51318/4704/9868/1737/27089/509/64960/514/26519/10063/840/4710/7386/7388/7416/4706/515/1347/56993/8803/2108/26521/10651/56945/292/29088/80273/4711/56898/4709/1349/9551/1345/1666/1329/6392/8802/10128/5160/9131/10449/9377/518/2230/516/481/4718/9617/54205/3417"
"BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",112,-0.413697614007021,-1.55338415219969,0.00540540540540541,0.0103950103950104,0.00284495021337127,3014,"tags=37%, list=16%, signal=31%","6342/5264/7276/55825/5827/26061/3283/216/5194/9971/23461/189/5947/51170/5189/2053/54677/3422/2730/5191/5825/8800/1718/5002/3295/335/9963/51302/25824/51268/3417/83594/29842/51703/866/6820/8431/23600/11001/8856/27284"
