"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.7048458149779737","0.0018248348121682417","0.2699167657550535","0.21428571428571427","8","9","false","A1CF","9.625","0","8","0","0.980816696347674","false","0","A1CF","5912","0.175"
"3.684287812041116","8.76688321379374E-4","0.2714228776404942","0.5","9","8","false","APOBEC1","16.555555555555557","0","9","0","0.9809624977869426","false","0","APOBEC1","3132","0.2470978441127695"
"3.8928046989720997","1.5071225409327987E-4","0.25688419464353074","0.5","5","9","false","HGD","11.6","0","5","0","0.9794836546172192","false","0","HGD","538","0.26976744186046514"
"2.814977973568282","0.026697909404217693","0.35524256651017216","0.12643678160919541","30","8","false","FABP1","20.2","0","30","0","0.9871278157902958","false","0","FABP1","130950","0.07864583333333333"
"3.616740088105727","0.0041196752888400185","0.27649208282582216","0.14545454545454545","11","8","false","SULT1C2","11.545454545454545","0","11","0","0.9814415596588246","false","0","SULT1C2","10548","0.13916947250280584"
"3.671071953010279","7.521263428286585E-4","0.2724","0.35714285714285715","8","9","false","PLA2G12B","14.0","0","8","0","0.981056227283615","false","0","PLA2G12B","3776","0.21875"
"4.1938325991189425","1.552438807046945E-4","0.23844537815126052","0.3333333333333333","4","9","false","SLC17A4","6.75","0","4","0","0.9773487049707877","false","0","SLC17A4","360","0.325"
"3.8839941262848754","2.9053614472734473E-4","0.25746691871455574","0.4","5","9","false","SLC16A9","7.6","0","5","0","0.9795461409483343","false","0","SLC16A9","1188","0.2814814814814815"
"3.4787077826725405","0.0012277244496713253","0.2874630645842127","0.1","5","9","false","CBX6","13.2","0","5","0","0.9824205121796274","false","0","CBX6","5066","0.2135593220338983"
"2.8883994126284875","0.006639203264658444","0.3462125063548551","0.2966666666666667","25","9","false","A2M","31.8","0","25","0","0.9866070963643371","false","0","A2M","37184","0.13271966527196652"
"2.725403817914831","0.01023405610696447","0.36691810344827586","0.33114754098360655","61","8","false","DCN","35.0655737704918","0","61","0","0.9877630934899657","false","0","DCN","69766","0.12175546448087432"
"2.6005873715124816","0.015476318876241572","0.3845285149632976","0.32462877624167946","63","9","false","MMP2","38.03174603174603","0","63","0","0.9886483165140958","false","0","MMP2","97542","0.10928662652800585"
"2.6490455212922175","0.017567014615896784","0.3774944567627494","0.3172606568832984","54","8","false","TGFB1","37.129629629629626","0","54","0","0.9883046416929631","false","0","TGFB1","90564","0.11343300487031374"
"2.679882525697504","0.013966722362411","0.3731506849315068","0.38870431893687707","43","9","false","SERPINE1","41.651162790697676","0","43","0","0.9880859395340602","false","0","SERPINE1","74118","0.12730246781878957"
"2.6284875183553598","0.030839978000032877","0.3804469273743017","0.2073170731707317","41","9","false","APOE","30.951219512195124","0","41","0","0.9884504431322314","false","0","APOE","134236","0.0888451535812188"
"3.0088105726872247","0.009052217633168316","0.3323572474377745","0.4083333333333333","16","9","false","SERPINF1","45.4375","0","16","0","0.9857531165057644","false","0","SERPINF1","41084","0.2199635922330097"
"3.093979441997063","0.00794860044298197","0.32320835310868534","0.21818181818181817","11","8","false","SLC40A1","19.818181818181817","0","11","0","0.9851490819716522","false","0","SLC40A1","28238","0.1252913752913753"
"3.149779735682819","0.005414575207360538","0.3174825174825175","0.14705882352941177","17","9","false","LYZ","17.764705882352942","0","17","0","0.9847533352079233","false","0","LYZ","20602","0.11764705882352941"
"2.563876651982379","0.024335454937572647","0.3900343642611684","0.2395644283121597","58","8","false","VWF","34.672413793103445","0","58","0","0.9889086762270753","false","0","VWF","136632","0.09784726280927333"
"2.7958883994126285","0.004155967435886298","0.35766806722689076","0.5362903225806451","32","9","false","TIMP2","47.71875","0","32","0","0.9872632028410452","false","0","TIMP2","34324","0.1692154255319149"
"2.8091042584434653","0.003928315335817429","0.35598536330371144","0.47147147147147145","37","9","false","TIMP3","43.32432432432432","0","37","0","0.9871694733443727","false","0","TIMP3","28116","0.16145623235175474"
"3.173274596182085","7.148682891581057E-4","0.3151318833873207","0.3956043956043956","14","9","false","SERPING1","26.357142857142858","0","14","0","0.9845867049916164","false","0","SERPING1","5156","0.17340225563909775"
"3.0029368575624082","0.006037248133819197","0.3330073349633252","0.44285714285714284","21","9","false","ADAMTS1","39.38095238095238","0","21","0","0.9857947740598411","false","0","ADAMTS1","27398","0.19070735090152566"
"2.8370044052863435","0.00834302996687824","0.35248447204968947","0.24923076923076923","26","8","false","CLU","27.26923076923077","0","26","0","0.9869715999625083","false","0","CLU","38020","0.11009031454375584"
"3.563876651982379","0.0012688520981270917","0.28059332509270707","0.5714285714285714","8","9","false","C7","16.5","0","8","0","0.981816477645515","false","0","C7","9394","0.28728070175438597"
"2.6916299559471364","0.009013386540356234","0.37152209492635024","0.34689265536723163","60","9","false","ELN","36.88333333333333","0","60","0","0.9880026244259067","false","0","ELN","64728","0.11897849462365591"
"3.101321585903084","0.004109581895838957","0.3224431818181818","0.4666666666666667","10","9","false","C4BPA","28.7","0","10","0","0.985097010029056","false","0","C4BPA","12210","0.16101694915254236"
"2.8487518355359764","0.018687858652485102","0.3510309278350516","0.16205533596837945","23","9","false","GPT","24.304347826086957","0","23","0","0.9868882848543548","false","0","GPT","71694","0.09459918478260869"
"3.0073421439060204","0.0019135012961222395","0.33251953125","0.6","11","9","false","SAA1","41.54545454545455","0","11","0","0.9857635308942836","false","0","SAA1","7710","0.20167696381288613"
"3.4126284875183552","7.843333529490743E-4","0.2930292598967298","0.10714285714285714","8","9","false","PIGR","14.5","0","8","0","0.9828891596629904","false","0","PIGR","3380","0.18181818181818182"
"3.0954478707782673","7.029738739946815E-4","0.3230550284629981","0.5256410256410257","13","9","false","C1S","29.307692307692307","0","13","0","0.985138667583133","false","0","C1S","5432","0.16464995678478825"
"2.9926578560939796","0.0015748689065254583","0.3341511285574092","0.44166666666666665","16","9","false","C1R","33.5625","0","16","0","0.9858676747794752","false","0","C1R","10736","0.1645220588235294"
"2.2276064610866375","0.1690242946228431","0.4489123269611074","0.12613981762917933","141","8","false","FN1","25.74468085106383","0","141","0","0.991293571197967","false","0","FN1","664732","0.05644208037825059"
"3.302496328928047","0.004816287137826032","0.3028012449977768","0.25","9","9","false","APOD","19.0","0","9","0","0.9836702388019287","false","0","APOD","23198","0.19160997732426305"
"3.700440528634361","1.686885412610453E-5","0.2702380952380952","0.0","2","10","false","RAB3IL1","23.5","0","2","0","0.9808479395132313","false","0","RAB3IL1","144","0.5113636363636364"
"3.9941262848751835","1.6346559025215386E-4","0.25036764705882353","0.0","2","10","false","ABCA3","11.5","0","2","0","0.9787650618093958","false","0","ABCA3","530","0.5"
"3.02496328928047","0.004102224292411123","0.33058252427184465","0.6491228070175439","19","9","false","LEPREL2","44.8421052631579","0","19","0","0.9856385582320535","false","0","LEPREL2","19970","0.23300438596491227"
"3.972099853157122","5.954953892506873E-4","0.25175600739371534","0.3333333333333333","4","10","false","DUOXA2","5.75","0","4","0","0.9789212776371835","false","0","DUOXA2","2628","0.34375"
"3.8076358296622614","0.001624687040000655","0.26263015811801005","0.16666666666666666","4","9","false","ABI3BP","15.75","0","4","0","0.9800876891513314","false","0","ABI3BP","14044","0.3388888888888889"
"3.039647577092511","0.02317707316434933","0.3289855072463768","0.3523809523809524","15","8","false","CCDC80","41.46666666666667","0","15","0","0.9855344143468615","false","0","CCDC80","89672","0.22342342342342342"
"2.9823788546255505","0.0027128333919955597","0.3353028064992615","0.5281385281385281","22","9","false","COL8A1","41.90909090909091","0","22","0","0.9859405754991095","false","0","COL8A1","21452","0.19746998284734132"
"2.9441997063142438","0.009878317869966707","0.3396508728179551","0.42391304347826086","24","8","false","OGN","38.291666666666664","0","24","0","0.9862113496006083","false","0","OGN","59702","0.17893302180685358"
"4.629955947136564","2.1085424717065745E-5","0.2159847764034253","0.0","2","10","false","MAMDC2","5.0","0","2","0","0.9742556315805918","false","0","MAMDC2","52","0.5"
"3.935389133627019","3.733119256929498E-5","0.2541044776119403","0.0","2","10","false","ABLIM3","16.0","0","2","0","0.9791816373501631","false","0","ABLIM3","94","0.5"
"3.1629955947136565","0.0023130424764432026","0.3161559888579387","0.3333333333333333","7","9","false","NTN1","25.428571428571427","0","7","0","0.9846596057112507","false","0","NTN1","6794","0.16326530612244897"
