"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SULT1B1",2.37,3.594,35.696,0,0,390.55
"LRRC19",1.193,2.918,15.467,0,0,98.666
"SLC35A3",0.643,5.056,15.148,0,0,94.801
"LRRC66",0.943,2.424,14.892,0,0,91.723
"ENTPD5",0.738,3.702,14.454,0,0,86.551
"NAT2",1.148,2.584,14.447,0,0,86.465
"SAMD13",0.706,2.24,13.796,0,0,78.955
"EPB41L4B",0.676,4.669,13.766,0,0,78.618
"UGT1A10",1.104,1.835,13.268,0,0,73.034
"CDS1",0.593,4.786,13.247,0,0,72.801
"LRRC31",0.928,3.042,12.918,0,0,69.192
"STX19",0.917,3.49,12.897,0,0,68.967
"NIPAL1",0.633,3.4,12.665,0,0,66.456
"NAALADL2",0.626,1.904,12.63,0,0,66.087
"PLS1",0.665,6.379,12.446,0,0,64.126
"AKR1B10",1.692,4.259,12.334,0,0,62.938
"GPSM1",-0.633,2.271,-12.187,0,0,61.406
"PRKACB",0.759,4.075,11.969,0,0,59.142
"UGT2A3",1.422,2.4,11.959,0,0,59.045
"A1CF",0.823,2.497,11.897,0,0,58.41
"BCL2L15",0.841,4.353,11.89,0,0,58.332
"HMGCS2",1.842,5.958,11.773,0,0,57.144
"ARL14",0.98,4.078,11.642,0,0,55.815
"RAB3IL1",-0.625,3.092,-11.627,0,0,55.657
"PBLD",0.734,3.447,11.597,0,0,55.362
"PPARG",0.65,5.081,11.537,0,0,54.755
"SGK2",0.881,3.497,11.497,0,0,54.357
"TSPAN8",0.973,9.001,11.461,0,0,54
"BCAS1",1.031,3.466,11.412,0,0,53.513
"POF1B",0.721,6.468,11.398,0,0,53.367
"ADTRP",1.116,2.561,11.348,0,0,52.878
"AXDND1",0.607,0.836,11.328,0,0,52.674
"FAM3D",1.291,7.223,11.237,0,0,51.778
"NLGN2",-0.592,3.068,-11.201,0,0,51.432
"SLC40A1",0.746,6.99,11.115,0,0,50.593
"PAQR8",0.627,5.267,10.991,0,0,49.389
"AKAP7",0.637,2.565,10.983,0,0,49.308
"SPHK1",-0.72,3.07,-10.962,0,0,49.11
"UGT2B7",0.993,1.956,10.928,0,0,48.776
"CYP2C18",0.857,2.225,10.842,0,0,47.96
"LY6E",-0.842,7.487,-10.795,0,0,47.506
"ATP10B",0.909,4.939,10.689,0,0,46.499
"LTBP3",-0.638,4.359,-10.671,0,0,46.336
"TSPAN1",0.996,7.682,10.622,0,0,45.867
"NR1I2",0.857,3.747,10.615,0,0,45.806
"FSTL3",-0.738,4.409,-10.595,0,0,45.615
"ATP1B1",0.636,8.766,10.577,0,0,45.443
"REP15",0.82,1.402,10.499,0,0,44.715
"CFTR",1.006,4.957,10.497,0,0,44.703
"C4orf19",0.592,4.035,10.467,0,0,44.426
"NXN",-0.654,3.189,-10.463,0,0,44.382
"IYD",0.743,3.058,10.452,0,0,44.282
"TINAG",0.823,2.523,10.409,0,0,43.885
"SMIM31",0.903,3.017,10.336,0,0,43.212
"GPA33",1.082,6.241,10.326,0,0,43.115
"PLCB4",0.95,4.771,10.312,0,0,42.986
"HAPLN3",-0.641,3.528,-10.252,0,0,42.439
"ENO2",-0.63,3.899,-10.199,0,0,41.954
"CAVIN3",-0.673,5.022,-10.192,0,0,41.896
"GLIS2",-0.595,3.352,-10.163,0,0,41.626
"SYTL5",0.764,1.872,10.142,0,0,41.437
"HHLA2",0.974,3.904,10.135,0,0,41.372
"XK",0.608,3.834,10.13,0,0,41.331
"MRAP2",0.82,2.887,10.11,0,0,41.15
"TMEM238L",0.872,4.421,10.108,0,0,41.132
"CTXN1",-0.842,2.996,-10.095,0,0,41.01
"EGFL7",-0.594,4.245,-10.093,0,0,40.995
"LGALS4",0.857,9.507,10.09,0,0,40.966
"TUBB6",-0.602,4.384,-9.978,0,0,39.966
"CERCAM",-0.665,3.972,-9.898,0,0,39.247
"FABP1",1.606,6.197,9.857,0,0,38.886
"CASP5",0.77,2.548,9.846,0,0,38.788
"KRT20",1.487,6.708,9.838,0,0,38.715
"ENPP3",0.931,2.049,9.834,0,0,38.681
"LGALS1",-0.628,8.449,-9.793,0,0,38.319
"TGFB1",-0.596,5.519,-9.78,0,0,38.2
"CES3",0.871,3.579,9.77,0,0,38.116
"RETREG1",0.679,4.032,9.753,0,0,37.971
"ABCA3",-0.714,2.095,-9.734,0,0,37.799
"ITGB6",0.679,3.808,9.73,0,0,37.77
"RASSF6",0.594,3.413,9.729,0,0,37.754
"IQGAP2",0.683,4.001,9.714,0,0,37.623
