"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RAMP1",-1.071,4.456,-9.705,0,0,37.551
"MEP1A",1.207,4.848,9.676,0,0,37.29
"PPP1R14D",0.922,5.732,9.654,0,0,37.102
"SCARF2",-0.659,3.373,-9.647,0,0,37.04
"XDH",0.78,2.949,9.641,0,0,36.986
"CLEC11A",-0.616,4.374,-9.63,0,0,36.895
"DUOX2",1.397,4.237,9.606,0,0,36.687
"FAM20C",-0.588,4.234,-9.59,0,0,36.546
"SELENBP1",0.82,6.756,9.565,0,0,36.326
"ADH6",0.795,2.12,9.547,0,0,36.169
"SLC9A2",0.816,2.881,9.536,0,0,36.079
"CA2",1.19,5.472,9.524,0,0,35.976
"SLC16A9",0.672,2.155,9.503,0,0,35.794
"COL6A2",-0.721,7.579,-9.422,0,0,35.101
"CCL28",0.852,3.632,9.41,0,0,34.997
"RCN3",-0.597,5.287,-9.407,0,0,34.972
"MOGAT2",0.986,2.884,9.405,0,0,34.957
"FMO5",0.605,2.962,9.396,0,0,34.878
"PDLIM4",-0.626,3.324,-9.39,0,0,34.825
"SLC44A4",0.744,7.565,9.371,0,0,34.662
"AGR3",1.201,5.642,9.291,0,0,33.988
"OLFM4",2.029,8.259,9.275,0,0,33.851
"CD24",0.76,9.509,9.254,0,0,33.675
"CYP3A5",0.716,4.165,9.205,0,0,33.266
"APOBEC1",0.847,3.221,9.16,0,0,32.888
"GGT6",0.978,4.763,9.127,0,0,32.614
"VSIG2",1.33,4.685,9.123,0,0,32.579
"CAVIN1",-0.628,6.43,-9.094,0,0,32.337
"BTNL3",0.884,2.87,9.093,0,0,32.337
"CEACAM7",1.402,5.14,9.075,0,0,32.188
"STMN3",-0.838,4.705,-9.072,0,0,32.159
"GPR160",0.589,5.529,9.039,0,0,31.888
"ST6GALNAC1",0.953,5.673,9.037,0,0,31.872
"ACE2",1.018,3.841,8.993,0,0,31.505
"C3orf85",0.602,1.466,8.99,0,0,31.48
"PARM1",0.664,5.643,8.969,0,0,31.307
"ADH4",0.682,1.043,8.968,0,0,31.305
"FER1L6",0.867,1.594,8.932,0,0,31.005
"SI",1.05,1.983,8.844,0,0,30.29
"FABP2",0.937,2.185,8.815,0,0,30.057
"TCIM",0.672,5.467,8.815,0,0,30.056
"VAV3",0.774,4.092,8.814,0,0,30.051
"ADH1C",1.287,4.203,8.803,0,0,29.959
"C10orf99",1.146,5.146,8.746,0,0,29.502
"COL6A1",-0.637,7.25,-8.742,0,0,29.474
"ITGA5",-0.591,4.869,-8.711,0,0,29.222
"VMO1",-0.588,2.683,-8.71,0,0,29.217
"GUCY2C",0.831,5.082,8.695,0,0,29.097
"GFPT2",-0.599,2.149,-8.692,0,0,29.073
"RNF128",0.599,5.767,8.68,0,0,28.974
"FLNA",-0.741,7.573,-8.663,0,0,28.838
"AHCYL2",0.593,4.838,8.607,0,0,28.398
"OBSL1",-0.622,2.66,-8.585,0,0,28.22
"SLC17A4",0.609,1.543,8.558,0,0,28.011
"GRM8",0.683,1.808,8.555,0,0,27.986
"CEACAM5",1.048,10.094,8.538,0,0,27.852
"UGT2B15",0.815,1.862,8.533,0,0,27.816
"HGD",0.696,3.144,8.524,0,0,27.745
"TYMP",-0.607,5.58,-8.521,0,0,27.719
"GAS1",-0.797,2.544,-8.52,0,0,27.711
"SLC38A4",0.61,1.242,8.49,0,0,27.476
"LRATD1",0.709,5.562,8.487,0,0,27.449
"SCGB2A1",0.78,1.619,8.483,0,0,27.424
"SMPD3",0.598,3.822,8.472,0,0,27.336
"TFF1",1.41,8.041,8.4,0,0,26.776
"SELENOP",0.749,4.729,8.39,0,0,26.7
"MXRA8",-0.638,5.38,-8.385,0,0,26.655
"SLC4A4",0.773,2.161,8.376,0,0,26.592
"CAPN9",0.865,2.486,8.37,0,0,26.543
"HSD11B2",0.622,6.176,8.361,0,0,26.476
"NPTXR",-0.614,1.85,-8.355,0,0,26.43
"PACSIN3",-0.624,4.141,-8.352,0,0,26.405
"RHBDL2",0.655,2.992,8.31,0,0,26.079
"DUOXA2",1.22,3.641,8.306,0,0,26.046
"BTNL8",0.783,2.455,8.28,0,0,25.849
"TMEM211",0.786,2.171,8.271,0,0,25.784
"SPINK1",1.057,7.599,8.246,0,0,25.588
"NOX1",0.906,5.568,8.236,0,0,25.514
"TRPA1",0.611,1.817,8.234,0,0,25.498
"ALDOB",1.156,4.106,8.215,0,0,25.353
"SLC26A3",1.279,4.187,8.213,0,0,25.34
"BGN",-0.731,8.186,-8.209,0,0,25.308
"CLCA1",1.495,3.337,8.201,0,0,25.251
"PLA2G4F",0.6,2.941,8.198,0,0,25.224
"LYPD8",0.986,3.098,8.126,0,0,24.68
"FCGBP",1.332,4.906,8.12,0,0,24.638
"PADI2",0.752,3.732,8.095,0,0,24.446
"DHRS9",0.836,2.359,8.074,0,0,24.287
"AKR1C3",0.706,5.063,8.052,0,0,24.126
"PTPRU",-0.666,3.048,-8.05,0,0,24.113
"APOE",-0.856,6.788,-8.041,0,0,24.042
"FSCN1",-0.639,5.36,-7.994,0,0,23.693
"CDH17",0.911,7.64,7.941,0,0,23.302
"PTPRD",0.589,2.282,7.918,0,0,23.135
"ISLR",-0.757,5.729,-7.883,0,0,22.874
"MFAP2",-0.599,4.097,-7.817,0,0,22.396
"PRRX2",-0.604,2.791,-7.796,0,0,22.238
"B3GALT5",0.707,2.23,7.763,0,0,22
"GPT",0.682,2.803,7.762,0,0,21.996
"TPM2",-0.662,6.339,-7.758,0,0,21.962
"COL1A1",-0.77,9.236,-7.739,0,0,21.828
"COL17A1",0.82,4.813,7.734,0,0,21.795
"NXPE4",0.894,2.76,7.684,0,0,21.435
"VGF",-0.664,1.803,-7.67,0,0,21.332
"PIGR",1.541,8.772,7.63,0,0,21.048
"SLC5A1",0.641,5.071,7.625,0,0,21.011
"C4BPA",0.765,2.332,7.613,0,0,20.926
"S100P",0.789,8.393,7.587,0,0,20.741
"C11orf86",0.795,2.014,7.578,0,0,20.679
"CHST5",0.669,1.603,7.572,0,0,20.634
"B3GNT6",1.011,2.267,7.567,0,0,20.597
"UCHL1",-0.629,2.44,-7.514,0,0,20.225
"CLRN3",0.619,6.157,7.51,0,0,20.198
"SDCBP2",0.594,5.407,7.491,0,0,20.066
"AEBP1",-0.696,6.649,-7.483,0,0,20.007
"ZBTB7C",0.67,2.555,7.483,0,0,20.005
"SLC51B",0.646,2.938,7.461,0,0,19.851
"SOSTDC1",0.719,2.237,7.456,0,0,19.816
"COMP",-0.942,3.088,-7.415,0,0,19.535
"IL33",0.776,4.174,7.378,0,0,19.279
"ADAMTS2",-0.592,4.009,-7.365,0,0,19.186
"CAPN8",0.655,4.305,7.354,0,0,19.108
"SERPING1",-0.594,6.449,-7.348,0,0,19.071
"PLAC8",0.811,4.332,7.347,0,0,19.061
"RBPMS2",-0.594,2.352,-7.345,0,0,19.051
"NXPE1",0.643,1.96,7.336,0,0,18.983
"ITLN1",1.416,4.123,7.319,0,0,18.869
"SFRP2",-1.196,5.091,-7.316,0,0,18.846
"FBLN2",-0.688,4.284,-7.316,0,0,18.845
"PHGR1",1.077,7.598,7.31,0,0,18.811
"MYL9",-0.704,7.335,-7.304,0,0,18.767
"HPGD",0.666,3.669,7.296,0,0,18.713
"HTRA3",-0.597,5.154,-7.259,0,0,18.457
"AGR2",0.747,9.241,7.202,0,0,18.072
"SULT1C2",0.644,2.345,7.191,0,0,17.999
"CHP2",0.914,3.278,7.167,0,0,17.837
"HOXA13",0.691,3.644,7.163,0,0,17.805
"METTL27",-0.614,3.423,-7.158,0,0,17.773
"TNC",-0.71,4.784,-7.144,0,0,17.68
"CPXM2",-0.61,2.627,-7.096,0,0,17.356
"L1CAM",-0.68,1.966,-7.045,0,0,17.02
"LEFTY1",1.069,4.26,7,0,0,16.724
"VSIG1",0.739,1.874,6.954,0,0,16.415
"CDHR2",0.734,3.939,6.953,0,0,16.413
"FN1",-0.773,6.912,-6.948,0,0,16.381
"JCHAIN",1.131,7.53,6.947,0,0,16.373
"MRGPRF",-0.588,3.318,-6.946,0,0,16.364
"TDGF1",0.61,2.871,6.917,0,0,16.175
"CYP2B6",0.806,3.626,6.916,0,0,16.172
"MYO1A",0.624,4.904,6.909,0,0,16.124
"HEPACAM2",0.899,2.667,6.908,0,0,16.115
"CXCL14",0.873,6.967,6.862,0,0,15.819
"FLNC",-0.749,3.666,-6.86,0,0,15.804
"ZG16",1.025,2.453,6.843,0,0,15.698
"TAGLN",-0.701,6.83,-6.841,0,0,15.68
"TNNT1",-0.674,1.453,-6.836,0,0,15.65
"SLC6A14",0.779,3.025,6.828,0,0,15.599
"ADGRG7",0.676,2.154,6.827,0,0,15.594
"SLC28A2",0.74,1.506,6.821,0,0,15.551
"SULT1E1",0.588,1.178,6.806,0,0,15.454
"CDHR5",0.623,5.909,6.801,0,0,15.426
"FNDC1",-0.716,3.57,-6.797,0,0,15.399
"MS4A12",0.782,1.616,6.767,0,0,15.206
"TNS1",-0.59,4.194,-6.753,0,0,15.115
"IHH",0.694,5.957,6.726,0,0,14.945
"THBS2",-0.751,5.328,-6.689,0,0,14.712
"CA1",0.753,1.374,6.687,0,0,14.695
"GSTA1",0.765,2.44,6.65,0,0,14.463
"QPCT",0.602,4.302,6.634,0,0,14.363
"SPOCK1",-0.63,2.738,-6.616,0,0,14.249
"SLC39A5",0.741,5.249,6.611,0,0,14.221
"CNN1",-0.862,4.874,-6.579,0,0,14.021
"PROM2",0.716,3.461,6.554,0,0,13.864
"CEACAM6",0.848,9.249,6.498,0,0,13.512
"MARCO",-0.655,1.754,-6.489,0,0,13.458
"CMBL",0.618,5.369,6.48,0,0,13.406
"SPINK4",1.318,5.508,6.447,0,0,13.202
"C15orf48",0.63,7.023,6.44,0,0,13.16
"HSPB7",-0.653,2.254,-6.421,0,0,13.043
"COL10A1",-0.826,3.457,-6.362,0,0,12.683
"GKN2",0.684,1.043,6.301,0,0,12.318
"NXPH4",-0.641,1.844,-6.159,0,0,11.474
"FBLN1",-0.608,5.082,-6.153,0,0,11.437
"UGT2B17",0.897,2.492,6.092,0,0,11.084
"ISX",0.605,2.913,6.081,0,0,11.017
"C3",-0.666,5.911,-6.071,0,0,10.958
"DDC",0.588,5.141,6.047,0,0,10.824
"REG4",1.292,5.964,6.014,0,0,10.632
"RNF186",0.644,4.455,6.001,0,0,10.556
"TFF3",0.761,9.104,5.995,0,0,10.52
"SULF1",-0.589,5.388,-5.961,0,0,10.327
"ANXA10",0.711,2.036,5.942,0,0,10.22
"OTC",0.624,1.604,5.888,0,0,9.912
"CLCA4",0.802,1.746,5.865,0,0,9.787
"SFRP4",-0.804,4.373,-5.841,0,0,9.652
"SMIM24",0.645,5.672,5.817,0,0,9.518
"THBS4",-0.699,2.347,-5.762,0,0,9.213
"CTSE",0.964,4.857,5.681,0,0,8.766
"RETNLB",0.71,2.683,5.659,0,0,8.648
"ODAM",0.588,2.25,5.656,0,0,8.633
"COL11A1",-0.594,2.841,-5.643,0,0,8.561
"CRABP2",-0.614,3.863,-5.614,0,0,8.403
"HSPB6",-0.734,3.943,-5.603,0,0,8.348
"PPP1R1B",0.588,6.973,5.535,0,0,7.983
"PRELP",-0.596,2.959,-5.505,0,0,7.823
"ACTG2",-0.77,5.733,-5.492,0,0,7.753
"GKN1",0.735,1.379,5.433,0,0,7.442
"SLC13A2",0.61,2.084,5.394,0,0,7.24
"RBP2",0.702,2.815,5.327,0,0,6.896
"MUCL3",0.591,1.547,5.269,0,0,6.598
"SPP1",-0.753,6.121,-5.255,0,0,6.527
"DEFA5",1.02,3.026,5.247,0,0,6.488
"DEFA6",0.94,3.104,5.226,0,0,6.382
"CCL21",-0.674,4.976,-5.175,0,0,6.126
"GUCA2A",0.696,3.85,5.072,0,0,5.614
"ATOH1",0.608,2.752,5.063,0,0,5.572
"PRAP1",0.709,6.251,5.033,0,0,5.425
"TM4SF20",0.655,2.863,5.002,0,0,5.277
"DEFB1",0.59,3.555,4.932,0,0,4.938
"CDX1",0.611,6.89,4.922,0,0,4.892
"PCSK1N",-0.686,2.814,-4.679,0,0,3.761
"MUC17",0.674,2.936,4.606,0,0,3.432
"CLDN2",0.7,5.373,4.519,0,0,3.048
"LCN2",0.652,9.212,4.449,0,0,2.741
"DES",-0.842,5.833,-4.448,0,0,2.739
"TCN1",0.701,3.503,4.387,0,0,2.475
"TFF2",0.765,3.933,4.377,0,0,2.433
"CHGA",0.596,2.228,4.312,0,0,2.158
"MYH11",-0.604,4.661,-4.187,0,0,1.641
"MUC2",0.734,4.763,3.925,0,0,0.603
"DMBT1",0.622,5.013,3.341,0.001,0.002,-1.469
"REG3A",0.595,4.018,2.667,0.008,0.016,-3.462
