"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC19A3",-0.631,2.356,-5.965,0,0,10.356
"BST2",0.655,7.106,5.953,0,0,10.292
"FAM3B",-0.908,3.049,-5.937,0,0,10.196
"SIX2",0.638,1.523,5.926,0,0,10.138
"GPNMB",0.637,4.953,5.925,0,0,10.133
"ASCL2",-0.851,6.329,-5.924,0,0,10.124
"PRUNE2",0.67,2.917,5.923,0,0,10.118
"CCL5",0.615,4.982,5.892,0,0,9.945
"GJB1",-0.589,6.272,-5.862,0,0,9.774
"MOGAT2",-0.733,2.884,-5.851,0,0,9.713
"PDK4",0.587,3.736,5.84,0,0,9.649
"LRP4",-0.622,3.766,-5.823,0,0,9.554
"APOD",0.845,4.251,5.803,0,0,9.443
"MAP7D2",-0.704,1.987,-5.793,0,0,9.392
"NXPE4",-0.792,2.76,-5.785,0,0,9.346
"TNNC2",-0.803,3.955,-5.782,0,0,9.331
"UGT1A10",-0.599,1.835,-5.778,0,0,9.305
"TRNP1",0.662,4.093,5.76,0,0,9.205
"APOE",0.723,6.788,5.75,0,0,9.153
"EVX1",-0.614,1.721,-5.745,0,0,9.126
"CDX1",-0.819,6.89,-5.701,0,0,8.885
"RASSF10",-0.594,2.594,-5.699,0,0,8.872
"C4BPA",-0.674,2.332,-5.689,0,0,8.82
"GUCA2A",-0.901,3.85,-5.669,0,0,8.707
"MYO1A",-0.597,4.904,-5.647,0,0,8.591
"FGFBP1",-0.733,3.403,-5.642,0,0,8.564
"CDH17",-0.761,7.64,-5.618,0,0,8.431
"CEACAM6",-0.855,9.249,-5.608,0,0,8.38
"C11orf86",-0.692,2.014,-5.599,0,0,8.331
"SERPINE1",0.594,5.143,5.588,0,0,8.27
"CTHRC1",0.596,5.274,5.556,0,0,8.1
"DUSP4",0.609,3.865,5.552,0,0,8.08
"RETNLB",-0.807,2.683,-5.53,0,0,7.959
"MAB21L4",-0.61,3.244,-5.504,0,0,7.825
"CDHR2",-0.68,3.939,-5.493,0,0,7.767
"CEL",-0.96,3.118,-5.452,0,0,7.548
"S100A7",-0.8,1.203,-5.44,0,0,7.486
"SMIM24",-0.702,5.672,-5.429,0,0,7.43
"DEFB1",-0.75,3.555,-5.402,0,0,7.29
"CXCL14",-0.806,6.967,-5.399,0,0,7.275
"GPD1",-0.594,2.765,-5.31,0,0,6.816
"CLCA1",-1.145,3.337,-5.298,0,0,6.752
"SOD3",0.605,6.421,5.222,0,0,6.365
"FABP2",-0.658,2.185,-5.189,0,0,6.201
"LCN15",-0.866,1.63,-5.184,0,0,6.175
"FAM3D",-0.726,7.223,-5.181,0,0,6.161
"SLC39A2",-0.669,1.331,-5.18,0,0,6.156
"FOLR1",-0.762,2.472,-5.158,0,0,6.045
"GSTA1",-0.689,2.44,-5.106,0,0,5.788
"COL10A1",0.777,3.457,5.106,0,0,5.788
"MUC12",-0.673,3.38,-5.045,0,0,5.491
"CA4",-0.765,2.163,-4.947,0,0,5.019
"CYP2W1",-0.876,3.997,-4.855,0,0,4.582
"ZG16",-0.844,2.453,-4.787,0,0,4.263
"PI3",-0.882,7.5,-4.723,0,0,3.969
"SI",-0.639,1.983,-4.498,0,0,2.963
"ITLN1",-1.029,4.123,-4.495,0,0,2.95
"FIBCD1",0.612,2.111,4.49,0,0,2.927
"LEFTY1",-0.779,4.26,-4.32,0,0,2.199
"DUSP27",-0.837,2.327,-4.311,0,0,2.16
"CLCA4",-0.678,1.746,-4.228,0,0,1.818
"MAGEA3",-0.703,1.381,-4.224,0,0,1.799
"ADH1C",-0.728,4.203,-4.154,0,0,1.515
"UGT2B17",-0.71,2.492,-4.103,0,0,1.309
"DEFA6",-0.851,3.104,-4.047,0,0,1.086
"PIGR",-0.943,8.772,-3.928,0,0,0.626
"SPP1",0.65,6.121,3.879,0,0,0.438
"VSIG2",-0.679,4.685,-3.873,0,0,0.415
"FDCSP",0.605,2.423,3.846,0,0,0.312
"DEFA5",-0.87,3.026,-3.825,0,0,0.235
"NOTUM",-0.745,3.529,-3.789,0,0,0.1
"REG3A",-0.974,4.018,-3.767,0,0.001,0.018
"SPINK4",-0.598,5.508,-2.472,0.014,0.027,-3.946
