"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RGMA",0.853,1.646,10.195,0,0,41.924
"SYNPO2",1.298,2.987,10.192,0,0,41.891
"LTBP3",0.711,4.359,10.184,0,0,41.824
"TCEAL2",0.824,0.883,10.181,0,0,41.793
"LAYN",0.635,2.399,10.138,0,0,41.405
"FHL1",1.017,3.759,10.126,0,0,41.292
"C7",1.276,2.226,10.117,0,0,41.21
"CHRM2",0.652,0.517,10.113,0,0,41.178
"TSPAN6",-0.712,5.883,-10.108,0,0,41.134
"NCS1",0.727,4.015,10.107,0,0,41.12
"NRP2",0.721,3.012,10.101,0,0,41.067
"RNF43",-0.872,5.839,-10.101,0,0,41.065
"NR1I2",-0.952,3.747,-10.088,0,0,40.954
"PRELP",1.226,2.959,10.087,0,0,40.944
"CLMP",0.818,2.815,10.058,0,0,40.677
"MAMDC2",0.685,0.967,10.054,0,0,40.642
"AMOTL1",0.679,2.716,10.039,0,0,40.507
"TAGLN",1.161,6.83,10.012,0,0,40.267
"RAMP1",1.28,4.456,10.012,0,0,40.264
"CFTR",-1.121,4.957,-10.01,0,0,40.246
"CSRP1",0.634,6.006,10.009,0,0,40.244
"PDLIM3",0.889,3.173,9.997,0,0,40.136
"CHRDL1",1.142,2.011,9.982,0,0,40
"LTBP4",0.708,5.565,9.972,0,0,39.912
"CYP1B1",0.986,1.97,9.96,0,0,39.806
"AKT3",0.601,2.364,9.958,0,0,39.781
"ROR2",0.799,2.385,9.943,0,0,39.65
"SPARCL1",1.002,5.933,9.917,0,0,39.419
"METRN",0.809,3.662,9.912,0,0,39.371
"HHLA2",-1.107,3.904,-9.885,0,0,39.134
"CHRNA3",0.718,1.003,9.881,0,0,39.098
"HSPB8",1.002,3.151,9.87,0,0,38.997
"DDR2",0.808,2.814,9.861,0,0,38.918
"GPR160",-0.74,5.529,-9.848,0,0,38.811
"CCDC80",1.052,3.341,9.845,0,0,38.784
"GGT5",0.716,3.522,9.842,0,0,38.758
"AKAP12",0.926,3.067,9.841,0,0,38.748
"SLC22A17",0.617,2.236,9.831,0,0,38.656
"SFRP1",0.98,1.458,9.821,0,0,38.566
"COL6A2",0.87,7.579,9.811,0,0,38.479
"MYH11",1.58,4.661,9.801,0,0,38.388
"GLIS2",0.668,3.352,9.783,0,0,38.23
"FABP1",-1.853,6.197,-9.773,0,0,38.144
"MYLK",0.985,3.708,9.771,0,0,38.128
"SCRG1",0.622,0.599,9.762,0,0,38.051
"SLIT2",0.664,1.319,9.754,0,0,37.976
"TINAG",-0.901,2.523,-9.737,0,0,37.83
"MEOX2",0.697,1.116,9.729,0,0,37.758
"P3H3",0.661,3.396,9.728,0,0,37.746
"APOBEC1",-1.04,3.221,-9.724,0,0,37.712
"CCDC69",0.718,3.589,9.722,0,0,37.698
"AHNAK2",0.941,2.465,9.713,0,0,37.62
"ABI3BP",0.753,1.693,9.712,0,0,37.612
"PRDM8",0.618,1.401,9.712,0,0,37.61
"MSRB3",0.86,3.234,9.712,0,0,37.61
"KCNE4",0.641,2.17,9.706,0,0,37.553
"LGI2",0.617,1.657,9.688,0,0,37.403
"MYL9",1.064,7.335,9.685,0,0,37.372
"CSPG4",0.7,3.276,9.669,0,0,37.235
"NTN1",0.721,2.094,9.665,0,0,37.203
"PALM",0.717,2.462,9.665,0,0,37.195
"STXBP1",0.726,4.036,9.659,0,0,37.145
"ABLIM3",0.652,2.145,9.654,0,0,37.103
"CARTPT",0.802,0.754,9.639,0,0,36.972
"PRIMA1",0.711,0.94,9.636,0,0,36.947
"FBLN5",0.705,3.543,9.608,0,0,36.699
"PTGIS",1.03,2.509,9.604,0,0,36.668
"CAVIN3",0.74,5.022,9.589,0,0,36.542
"STON1",0.598,1.676,9.559,0,0,36.282
"S1PR3",0.595,2.511,9.533,0,0,36.056
"ASB2",0.736,1.824,9.519,0,0,35.932
"CYP2J2",-0.66,4.283,-9.518,0,0,35.923
"CFL2",0.626,2.646,9.508,0,0,35.839
"TUBA1A",0.735,5.915,9.505,0,0,35.812
"ITGA5",0.744,4.869,9.494,0,0,35.718
"HEG1",0.627,3.696,9.492,0,0,35.706
"RSPO3",0.858,2.055,9.489,0,0,35.679
"BCHE",0.605,0.762,9.481,0,0,35.606
"ACTG2",1.499,5.733,9.48,0,0,35.599
"TGFB3",0.762,2.604,9.47,0,0,35.517
"SLC39A5",-1.205,5.249,-9.466,0,0,35.476
"CYP2B6",-1.255,3.626,-9.464,0,0,35.458
"PALLD",0.706,5.131,9.457,0,0,35.4
"PODN",0.888,3.67,9.428,0,0,35.154
"ADGRA2",0.656,3.896,9.424,0,0,35.122
"MYOC",0.679,0.554,9.422,0,0,35.104
"COL6A1",0.791,7.25,9.399,0,0,34.904
"ACTA2",0.943,7.308,9.374,0,0,34.698
"PER1",0.606,3.593,9.371,0,0,34.671
"MYADM",0.637,6.773,9.368,0,0,34.643
"CHST15",0.636,3.12,9.359,0,0,34.565
"SPON1",1.116,4.167,9.358,0,0,34.557
"DBN1",0.668,4.689,9.357,0,0,34.548
"IYD",-0.781,3.058,-9.356,0,0,34.54
"ACKR1",1.059,3.056,9.345,0,0,34.445
"TPM2",0.914,6.339,9.339,0,0,34.4
"SERPING1",0.862,6.449,9.317,0,0,34.214
"C1R",0.774,6.032,9.307,0,0,34.128
"AXL",0.648,4.196,9.307,0,0,34.123
"PPARG",-0.623,5.081,-9.304,0,0,34.101
"C3orf85",-0.722,1.466,-9.301,0,0,34.078
"GADD45B",0.595,4.913,9.299,0,0,34.056
"FERMT2",0.679,3.161,9.284,0,0,33.935
